date,iyr_close,eem_close,agg_close,emb_close,bsv_close,iau_close,ifeu_close,ijh_close,slv_close,ijr_close,ivv_close,ivv_close_shft
2018-06-04,79.15,46.8,105.83,107.96,78.01,12.39,40.88,197.01,15.45,84.37,276.81,277.06
2018-06-01,78.46,46.33,106.08,108.0,78.06,12.41,40.46,195.9,15.44,83.41,275.53,276.81
2018-05-31,78.19,45.69,106.46,108.84,78.3,12.46,40.64,194.77,15.46,82.84,272.73,275.53
2018-05-30,78.33,45.71,106.55,109.29,78.36,12.49,40.58,196.97,15.55,83.72,274.55,272.73
2018-05-29,77.35,45.35,106.82,109.32,78.49,12.48,39.75,193.96,15.44,82.56,270.93,274.55
2018-05-25,77.12,46.43,106.12,109.62,78.22,12.48,40.47,194.71,15.53,82.51,273.98,270.93
2018-05-24,76.86,46.24,105.89,109.35,78.12,12.51,40.44,195.25,15.69,82.63,274.75,273.98
2018-05-23,77.05,46.49,105.6,109.02,78.07,12.41,40.37,195.08,15.5,82.61,275.25,274.75
2018-05-22,76.4,46.51,105.31,108.35,77.95,12.4,40.74,194.92,15.58,82.53,274.47,275.25
2018-05-21,76.3,46.35,105.31,107.93,77.96,12.41,40.82,196.27,15.54,83.21,275.21,274.47
2018-05-18,75.49,46.07,105.3,107.91,77.95,12.4,40.83,194.38,15.48,82.45,273.21,275.21
2018-05-17,75.32,46.46,105.03,108.03,77.89,12.38,40.78,194.78,15.47,82.28,273.88,273.21
2018-05-16,75.71,47.18,105.17,108.46,77.85,12.39,40.87,194.38,15.41,81.78,274.1,273.88
2018-05-15,75.93,46.48,105.29,108.23,77.9,12.4,41.16,193.02,15.33,80.82,272.81,274.1
2018-05-14,77.07,47.46,105.76,108.98,77.99,12.61,41.61,193.58,15.56,80.78,274.82,272.81
2018-05-11,77.64,47.4,105.86,109.17,78.01,12.65,41.65,193.8,15.7,81.13,274.47,274.82
2018-05-10,77.96,47.48,105.81,108.71,78.0,12.67,41.51,193.64,15.74,81.0,273.9,274.47
2018-05-09,77.25,46.51,105.57,107.35,77.96,12.6,41.43,192.19,15.53,80.57,271.44,273.9
